elapsed_ms,kind,value,source,iso_time,session_label
239373,rr,714,saved_rr_points,2026-06-13T21:49:21Z,gate-b-300s-live-rr
240434,rr,772,saved_rr_points,2026-06-13T21:49:22Z,gate-b-300s-live-rr
241133,rr,758,saved_rr_points,2026-06-13T21:49:23Z,gate-b-300s-live-rr
242241,rr,748,saved_rr_points,2026-06-13T21:49:24Z,gate-b-300s-live-rr
242518,rr,738,saved_rr_points,2026-06-13T21:49:24Z,gate-b-300s-live-rr
243276,rr,758,saved_rr_points,2026-06-13T21:49:25Z,gate-b-300s-live-rr
244322,rr,765,saved_rr_points,2026-06-13T21:49:26Z,gate-b-300s-live-rr
245028,rr,766,saved_rr_points,2026-06-13T21:49:27Z,gate-b-300s-live-rr
246424,rr,744,saved_rr_points,2026-06-13T21:49:28Z,gate-b-300s-live-rr
246425,rr,769,saved_rr_points,2026-06-13T21:49:28Z,gate-b-300s-live-rr
247128,rr,779,saved_rr_points,2026-06-13T21:49:29Z,gate-b-300s-live-rr
248209,rr,823,saved_rr_points,2026-06-13T21:49:30Z,gate-b-300s-live-rr
248855,rr,646,saved_rr_points,2026-06-13T21:49:30Z,gate-b-300s-live-rr
249909,rr,701,saved_rr_points,2026-06-13T21:49:31Z,gate-b-300s-live-rr
250957,rr,1400,saved_rr_points,2026-06-13T21:49:32Z,gate-b-300s-live-rr
252721,rr,1422,saved_rr_points,2026-06-13T21:49:34Z,gate-b-300s-live-rr
254184,rr,1394,saved_rr_points,2026-06-13T21:49:36Z,gate-b-300s-live-rr
254858,rr,674,saved_rr_points,2026-06-13T21:49:36Z,gate-b-300s-live-rr
255905,rr,677,saved_rr_points,2026-06-13T21:49:37Z,gate-b-300s-live-rr
256615,rr,684,saved_rr_points,2026-06-13T21:49:38Z,gate-b-300s-live-rr
